href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age,new_native_language
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=202,hebrew1,male,israel,hebrew,['none'],"['23,', 'male', '']",10.0,academic,[''],0.0,23.0,other
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=203,hebrew2,male,israel,hebrew,['none'],"['24,', 'male', '']",10.0,academic,[''],0.0,24.0,other
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=204,hebrew3,male,israel,hebrew,['none'],"['33,', 'male', '']",8.0,academic,['usa'],1.5,33.0,other
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=205,hebrew4,female,israel,hebrew,"['spanish', '']","['20,', 'female', '']",9.0,academic,['canada'],0.5,20.0,other
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=206,hebrew5,male,israel,hebrew,['none'],"['23,', 'male', '']",10.0,academic,['usa'],3.0,23.0,other
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=411,hebrew6,female,israel,hebrew,"['french', 'spanish', 'german', '']","['33,', 'female', '']",9.0,academic,[''],0.0,33.0,other
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1074,hebrew8,male,israel,hebrew,"['italian', 'spanish', 'french', '']","['28,', 'male', '']",7.0,naturalistic,[''],0.0,28.0,other
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2840,hebrew11,female,israel,hebrew,"['spanish', '']","['26,', 'female', '']",9.0,academic,['usa'],0.9,26.0,other
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=77,english2,female,uk,english,"['german', 'mandarin', '']","['30,', 'female', '']",0.0,naturalistic,['uk'],30.0,30.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=68,english11,female,uk,english,"['french', '']","['35,', 'female', '']",0.0,naturalistic,['uk'],35.0,35.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=69,english12,female,uk,english,"['french', '']","['71,', 'female', '']",0.0,naturalistic,['uk'],71.0,71.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=70,english13,male,uk,english,['none'],"['69,', 'male', '']",0.0,naturalistic,['uk'],69.0,69.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=71,english14,male,uk,english,"['french', '']","['40,', 'male', '']",0.0,naturalistic,"['uk,usa']",40.0,40.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=82,english24,male,uk,english,"['french', '']","['37,', 'male', '']",0.0,naturalistic,"['uk,usa']",37.0,37.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=97,english38,male,uk,english,['none'],"['27,', 'male', '']",0.0,naturalistic,['uk'],27.0,27.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=100,english40,male,uk,english,['none'],"['53,', 'male', '']",0.0,naturalistic,['uk'],53.0,53.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=117,english56,male,uk,english,"['ulster', 'scots', '']","['20,', 'male', '']",0.0,naturalistic,"['northern', 'ireland']",20.0,20.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=118,english57,male,uk,english,"['french', 'spanish', '']","['34,', 'male', '']",0.0,naturalistic,"['uk,canada']",34.0,34.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=119,english58,female,uk,english,['none'],"['46,', 'female', '']",0.0,naturalistic,"['uk,usa']",16.0,46.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=144,english80,male,uk,english,['none'],"['34,', 'male', '']",0.0,naturalistic,"['uk,', 'canada']",34.0,34.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=149,english85,male,uk,english,['none'],"['31,', 'male', '']",0.0,naturalistic,['uk'],31.0,31.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=419,english108,male,uk,english,"['dutch', 'french', 'german', 'spanish', '']","['21,', 'male', '']",0.0,naturalistic,['uk'],21.5,21.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=421,english110,male,uk,english,"['japanese', '']","['21,', 'male', '']",0.0,naturalistic,['uk'],0.0,21.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=439,english113,male,uk,english,"['french', 'welsh', '']","['31,', 'male', '']",0.0,naturalistic,"['wales,', 'australia']",31.0,31.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=443,english115,male,uk,english,['none'],"['31,', 'male', '']",0.0,naturalistic,['uk'],31.0,31.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=492,english129,male,uk,english,"['korean', 'indonesian', 'polish', 'french', '']","['25,', 'male', '']",0.0,naturalistic,"['uk,', 'australia']",25.0,25.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=506,english134,female,uk,english,"['french', '']","['22,', 'female', '']",0.0,naturalistic,['uk'],22.0,22.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=516,english141,male,uk,english,"['french', 'german', '']","['19,', 'male', '']",0.0,naturalistic,['uk'],19.0,19.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=521,english145,male,uk,english,['none'],"['18,', 'male', '']",0.0,naturalistic,['uk'],13.0,18.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=549,english164,male,uk,english,['none'],"['38,', 'male', '']",0.0,naturalistic,['uk'],38.0,38.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=604,english185,male,uk,english,"['spanish', '']","['38,', 'male', '']",0.0,naturalistic,['canada'],36.0,38.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=611,english188,male,uk,english,['none'],"['35,', 'male', '']",0.0,naturalistic,['uk'],35.0,35.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=638,english194,male,uk,english,['none'],"['19,', 'male', '']",0.0,naturalistic,['uk'],19.0,19.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=680,english206,female,uk,english,"['slovenian', '']","['35,', 'female', '']",0.0,naturalistic,['uk'],35.0,35.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=738,english215,male,uk,english,"['spanish', 'italian', 'yiddish', '']","['20,', 'male', '']",0.0,naturalistic,"['uk,', 'ireland,', 'usa']",20.0,20.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=740,english217,male,uk,english,"['french', 'german', 'spanish', 'italian', 'japanese', '']","['66,', 'male', '']",0.0,naturalistic,"['uk,', 'usa']",66.0,66.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=754,english221,male,uk,english,"['yoruba', '']","['45,', 'male', '']",0.0,naturalistic,"['uk,', 'australia,', 'usa']",45.0,45.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=771,english225,male,uk,english,"['italian', '']","['50,', 'male', '']",0.0,naturalistic,"['scotland,', 'usa']",50.0,50.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=772,english226,male,uk,english,['none'],"['38,', 'male', '']",0.0,naturalistic,"['uk,', 'usa']",38.0,38.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=773,english227,female,uk,english,['none'],"['42,', 'female', '']",0.0,naturalistic,"['uk,', 'usa']",42.0,42.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=774,english228,female,uk,english,"['french', 'german', 'krio', '']","['59,', 'female', '']",0.0,naturalistic,"['scotland,', 'usa,', 'sierra', 'leone']",59.0,59.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=852,english250,male,uk,english,['none'],"['19,', 'male', '']",0.0,naturalistic,['uk'],19.0,19.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=900,english267,male,uk,english,"['french', '']","['66,', 'male', '']",0.0,naturalistic,['uk'],66.0,66.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=901,english268,female,uk,english,"['french', 'german', '']","['67,', 'female', '']",0.0,naturalistic,['uk'],67.0,67.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1093,english306,female,uk,english,['none'],"['24,', 'female', '']",0.0,naturalistic,"['uk,', 'usa']",24.0,24.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1101,english308,male,uk,english,"['welsh', '']","['34,', 'male', '']",0.0,naturalistic,"['uk,', 'new', 'zealand']",34.0,34.0,english
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1108,english310,female,uk,english,"['punjabi', '']","['37,', 'female', '']",0.0,naturalistic,"['uk,', 'usa']",22.0,37.0,english
